id;start_date;end_date;language
1;2021-02-16T00:35:02;2021-02-15T22:25:17;SPANISH
2;2021-02-15T05:25:13;2021-02-16T00:29:38;SPANISH
3;2021-02-15T20:20:32;2021-02-15T06:54:41;FRENCH
4;2021-02-15T11:38:03;2021-02-15T23:09:29;FRENCH
5;2021-02-15T21:08:21;2021-02-16T01:55:20;FRENCH
6;2021-02-15T15:00:42;2021-02-16T03:08:56;FRENCH
7;2021-02-15T16:46:02;2021-02-15T10:36:53;FRENCH
8;2021-02-15T15:42:15;2021-02-16T01:58:23;SPANISH
9;2021-02-15T14:23:24;2021-02-15T11:04:47;SPANISH
10;2021-02-15T22:35:28;2021-02-15T09:09:58;SPANISH
